Facility Name,CCN,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,CMS_CareCompare_Page
ALAMEDA HOSPITAL,050211,2070 CLINTON AVENUE,ALAMEDA,CA,94501,ALAMEDA,(510) 522-3700,Acute Care Hospitals,Government - Hospital District or Authority,Yes,https://www.medicare.gov/care-compare/details/hospital/050211/view-all?state=CA
ALTA BATES SUMMIT MEDICAL CENTER,050043,350 HAWTHORNE AVENUE,OAKLAND,CA,94609,ALAMEDA,(510) 655-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050043/view-all?state=CA
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,050305,2450 ASHBY AVENUE,BERKELEY,CA,94705,ALAMEDA,(510) 204-4444,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050305/view-all?state=CA
BHC FREMONT HOSPITAL INC,054110,39001 SUNDALE DRIVE,FREMONT,CA,94538,ALAMEDA,(510) 796-1100,Psychiatric,Proprietary,No,https://www.medicare.gov/care-compare/details/hospital/054110/view-all?state=CA
EDEN MEDICAL CENTER,050488,20103 LAKE CHABOT ROAD,CASTRO VALLEY,CA,94546,ALAMEDA,(510) 537-1234,Acute Care Hospitals,Voluntary non-profit - Other,Yes,https://www.medicare.gov/care-compare/details/hospital/050488/view-all?state=CA
HIGHLAND HOSPITAL,050320,1411 EAST 31ST STREET,OAKLAND,CA,94602,ALAMEDA,(510) 437-4800,Acute Care Hospitals,Government - Hospital District or Authority,Yes,https://www.medicare.gov/care-compare/details/hospital/050320/view-all?state=CA
KAISER FOUNDATION HOSPITAL - FREMONT,050512,39400 PASEO PADRE PKWY,FREMONT,CA,94538,ALAMEDA,(510) 784-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050512/view-all?state=CA
KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,050075,275 WEST MACARTHUR BOULEVARD,OAKLAND,CA,94611,ALAMEDA,(510) 752-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050075/view-all?state=CA
KAISER FOUNDATION HOSPITAL - SAN LEANDRO,050777,2500 MERCED STREET,SAN LEANDRO,CA,94577,ALAMEDA,(510) 454-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050777/view-all?state=CA
ST ROSE HOSPITAL,050002,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,Acute Care Hospitals,Voluntary non-profit - Church,No,https://www.medicare.gov/care-compare/details/hospital/050002/view-all?state=CA
STANFORD HEALTH CARE TRI-VALLEY,050283,5555 WEST LAS POSITAS BOULEVARD,PLEASANTON,CA,94588,ALAMEDA,(925) 847-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050283/view-all?state=CA
TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,054146,"2633 E 27TH STREET, BUILDING B",OAKLAND,CA,94601,ALAMEDA,(510) 535-5115,Psychiatric,Proprietary,No,https://www.medicare.gov/care-compare/details/hospital/054146/view-all?state=CA
UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,053301,747 52ND STREET,OAKLAND,CA,94609,ALAMEDA,(510) 428-3000,Childrens,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/053301/view-all?state=CA
WASHINGTON HOSPITAL,050195,2000 MOWRY AVE,FREMONT,CA,94538,ALAMEDA,(510) 797-1111,Acute Care Hospitals,Government - Hospital District or Authority,Yes,https://www.medicare.gov/care-compare/details/hospital/050195/view-all?state=CA
WILLOW ROCK CENTER,054149,2050 FAIRMONT DRIVE,SAN LEANDRO,CA,94578,ALAMEDA,(510) 895-5502,Psychiatric,Proprietary,No,https://www.medicare.gov/care-compare/details/hospital/054149/view-all?state=CA
CONTRA COSTA REGIONAL MEDICAL CENTER,050276,2500 ALHAMBRA AVENUE,MARTINEZ,CA,94553,CONTRA COSTA,(925) 370-5000,Acute Care Hospitals,Government - Local,Yes,https://www.medicare.gov/care-compare/details/hospital/050276/view-all?state=CA
JOHN MUIR BEHAVIORAL HEALTH CENTER,054131,2740 GRANT STREET,CONCORD,CA,94520,CONTRA COSTA,(925) 674-4101,Psychiatric,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/054131/view-all?state=CA
JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,050496,2540 EAST ST,CONCORD,CA,94520,CONTRA COSTA,(925) 682-8200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050496/view-all?state=CA
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,050180,1601 YGNACIO VALLEY RD,WALNUT CREEK,CA,94598,CONTRA COSTA,(925) 939-3000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,https://www.medicare.gov/care-compare/details/hospital/050180/view-all?state=CA
KAISER FOUNDATION HOSPITAL - ANTIOCH,050760,4501 SAND CREEK ROAD,ANTIOCH,CA,94531,CONTRA COSTA,(925) 813-6500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050760/view-all?state=CA
KAISER FOUNDATION HOSPITAL - WALNUT CREEK,050072,1425 S MAIN STREET,WALNUT CREEK,CA,94596,CONTRA COSTA,(925) 295-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,https://www.medicare.gov/care-compare/details/hospital/050072/view-all?state=CA
SAN RAMON REGIONAL MEDICAL CENTER,050689,6001 NORRIS CANYON ROAD,SAN RAMON,CA,94583,CONTRA COSTA,(925) 275-9200,Acute Care Hospitals,Proprietary,Yes,https://www.medicare.gov/care-compare/details/hospital/050689/view-all?state=CA
