hospital_name,region,source_page_url,mrf_download_url,file_type,contact_name,contact_email
"UCSF Parnassus","San Francisco","https://www.ucsfhealth.org/about/pricing-transparency","https://app.box.com/index.php?rm=box_download_shared_file&shared_name=ldckxfm5nm9wah74gqi7fdhe6mrtpg5e&file_id=f_1959275070690","Unknown","Patience Vega","Patience.Vega@ucsf.org"
"UCSF Mt Zion","San Francisco","https://www.ucsfhealth.org/about/pricing-transparency","https://app.box.com/index.php?rm=box_download_shared_file&shared_name=ldckxfm5nm9wah74gqi7fdhe6mrtpg5e&file_id=f_1959275070690","Unknown","Patience Vega","Patience.Vega@ucsf.org"
"UCSF Mission Bay","San Francisco","https://www.ucsfhealth.org/about/pricing-transparency","https://app.box.com/index.php?rm=box_download_shared_file&shared_name=ldckxfm5nm9wah74gqi7fdhe6mrtpg5e&file_id=f_1959275070690","Unknown","Patience Vega","Patience.Vega@ucsf.org"
"UCSF Langley Porter Psychiatric Hospital","San Francisco","https://www.ucsfhealth.org/about/pricing-transparency","https://app.box.com/index.php?rm=box_download_shared_file&shared_name=3qwt5aex5xogbxxsjw6cz5u50kf15vxt&file_id=f_1959272306335","Unknown","Patience Vega","Patience.Vega@ucsf.org"
"Zuckerberg San Francisco General Hospital","San Francisco","https://www.zuckerbergsanfranciscogeneral.org/services/billing-financial-assistance/","https://sfdph.box.com/shared/static/25v7xayq48oepf9w14bolc831496lepq.csv","CSV","SFDPH Revenue Integrity Unit","DPH-RevenueIntegrityUnit@sfdph.org"
"Chinese Hospital","San Francisco","https://protect-us.mimecast.com/s/1lZ5CL9Vl8t056Auqfikw?domain=apps.para-hcfs.com","https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbCHSANFRANCISCOCA&type=CDMWithoutLabel&fileType=CSV","CSV","Information Security","informationsecurity@chasf.org"
"UCSF Benioff Children's Hospital Oakland","San Francisco","https://www.ucsfbenioffchildrens.org/billing-and-insurance/pricing-transparency","https://app.box.com/index.php?rm=box_download_shared_file&shared_name=pkobyi0jmi5a4ybe6wu06bk99lki5qnu&file_id=f_1959275788430","Unknown","Patience Vega","Patience.Vega@ucsf.edu"
"UCSF Benioff Children's Hospital San Francisco","San Francisco","https://www.ucsfbenioffchildrens.org/billing-and-insurance/pricing-transparency","https://app.box.com/index.php?rm=box_download_shared_file&shared_name=ldckxfm5nm9wah74gqi7fdhe6mrtpg5e&file_id=f_1959275070690","Unknown","Patience Vega","Patience.Vega@ucsf.edu"
"California Pacific Medical Center Davies Campus","San Francisco","https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency/","https://www.sutterhealth.org/-/media/Project/SutterHealth/SutterHealth/files/billing-insurance/costs-and-charges/940562680-1659439834_california-pacific-medical-center-davies-campus_standardcharges.csv","CSV","Marjorie Clark","Marjorie.Clark@sutterhealth.org"
"California Pacific Medical Center Mission Bernal Campus","San Francisco","https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency/","https://www.sutterhealth.org/-/media/Project/SutterHealth/SutterHealth/files/billing-insurance/costs-and-charges/940562680-1730238007_california-pacific-medical-center-mission-bernal-campus_standardcharges.csv","CSV","Marjorie Clark","Marjorie.Clark@sutterhealth.org"
"California Pacific Medical Center Van Ness Campus","San Francisco","https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency/","https://www.sutterhealth.org/-/media/Project/SutterHealth/SutterHealth/files/billing-insurance/costs-and-charges/940562680-1740348929_california-pacific-medical-center-van-ness-campus_standardcharges.csv","CSV","Marjorie Clark","Marjorie.Clark@sutterhealth.org"
"Kaiser San Francisco Medical Center","San Francisco","https://healthy.kaiserpermanente.org/northern-california/doctors-locations/price-transparency","https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/machine-readable/941105628-san-francisco-medical-center-standard-charges-ncal-en.csv","CSV","Brad Tinnermon","Brad.S.Tinnermon@kp.org"
"Alta Bates Summit Medical Center Summit Campus","East Bay","https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency/","https://www.sutterhealth.org/-/media/Project/SutterHealth/SutterHealth/files/billing-insurance/costs-and-charges/940562680-1295181477_alta-bates-summit-medical-center-summit-campus_standardcharges.csv","CSV","Marjorie Clark","Marjorie.Clark@sutterhealth.org"
"Alta Bates Summit Medical Center Hawthorne Campus","East Bay","https://www.sutterhealth.org/billing-insurance/costs-and-charges/cost-transparency/","https://www.sutterhealth.org/-/media/Project/SutterHealth/SutterHealth/files/billing-insurance/costs-and-charges/940562680-1194171371_alta-bates-summit-medical-center-hawthorne-campus_standardcharges.csv","CSV","Marjorie Clark","Marjorie.Clark@sutterhealth.org"
